#{"t_start": 1653173331.7209973, "env_id": "PointToPoint-v0"}
r,l,t
-5458.448198,8001,16530.262794
-5308.312744,8001,16721.192057
-4695.69439,8001,16967.688778
-4838.482078,8001,17227.70338
-5315.4241,8001,17407.928002
-5140.934488,8001,17544.724002
-4996.83061,8001,17723.362411
-4399.114145,8001,17933.37993
-4576.868384,8001,18244.643918
-5418.636877,8001,18490.221695
-6838.707511,8001,18652.252282
-4356.074021,8001,19006.521502
-4294.447909,8001,19384.680661
-9588.979442,8001,19689.842013
-4649.815528,8001,19912.422083
-4068.268258,8001,20204.512188
-4823.009708,8001,20375.372833
-4469.467226,8001,20589.610992
-4042.827681,8001,20875.958419
-4382.046671,8001,21088.03349
-5280.553724,8001,21251.204057
-4483.684103,8001,21611.094885
-4079.333736,8001,22006.050713
-4255.838108,8001,22235.973456
-4266.387504,8001,22529.27705
-4215.638731,8001,22718.609002
-4200.649577,8001,23009.167746
-6641.542306,8001,23202.270309
-5698.415303,8001,23401.553323
-5388.985405,8001,23718.569554
-5516.753074,8001,23968.319023
-4548.653497,8001,24118.339171
-5263.262411,8001,24355.646682
-5728.751426,8001,24514.932573
-5343.12039,8001,24668.783887
-6512.969325,8001,24918.102316
-6163.939564,8001,25107.013948
-5906.614659,8001,25284.871913
-8111.994078,8001,25440.933888
-4739.704812,8001,25792.055389
-4409.95049,8001,25999.733379
-4857.72611,8001,26229.389341
-4174.808547,8001,26422.678274
-4813.781822,8001,26604.351505
-5031.428024,8001,26828.338676
-4357.749361,8001,26989.455434
-4339.812334,8001,27197.076874
-3753.328799,8001,27348.146723
-5760.912636,8001,27448.909014
-4932.293635,8001,27606.061764
-8761.222253,8001,27763.473707
-4873.179783,8001,27998.418308
-4387.820355,8001,28205.97322
-5365.152683,8001,28381.492737
-4022.446659,8001,28755.228493
-6487.099297,8001,29021.887258
-4882.339975,8001,29181.602983
-3948.445397,8001,29356.591052
-4024.499519,8001,29607.608329
-4546.58103,8001,29765.012141
-10661.964116,8001,30037.226356
-11333.503065,8001,30332.882096
-10759.661983,8001,30611.478777
-11268.784974,8001,30781.982026
-9854.041262,8001,31054.762362
-3901.382648,8001,31192.728693
-11235.803041,8001,31369.61575
-6763.573477,8001,31614.522104
-4210.581102,8001,31845.435108
-4558.1327,8001,32205.155535
-4265.170126,8001,32373.396537
-4323.531761,8001,32562.181229
-4389.979077,8001,32695.282865
-4848.876951,8001,32863.726401
-4280.39273,8001,33097.340029
-4418.138422,8001,33289.128821
-4493.207961,8001,33473.039615
-9920.104606,8001,33620.88018
-9762.862895,8001,33832.063934
-7175.41655,8001,34024.792601
-10781.776075,8001,34211.112675
-9799.397831,8001,34399.96882
-10696.047996,8001,34548.249537
-10862.055565,8001,34804.240361
-9230.017772,8001,34952.244459
-4270.915443,8001,35216.407749
-10287.522288,8001,35425.354926
-8863.140062,8001,35569.290033
-5693.707263,8001,35736.385154
-10534.169015,8001,35914.758673
-10757.320296,8001,36130.751174
-4735.495813,8001,36306.436301
-10826.23109,8001,36530.510641
-10287.089109,8001,36774.320467
-3910.236212,8001,36932.128717
-6971.755046,8001,37048.252355
-3802.074214,8001,37196.287765
-10781.116483,8001,37466.015682
-8745.141803,8001,37620.994004
-4617.783981,8001,37874.387776
-6013.066019,8001,38110.344038
-7189.948103,8001,38323.79699
-4107.212194,8001,38504.788655
-4381.411849,8001,38630.232308
-5600.54145,8001,38838.558082
-9640.642594,8001,39027.934488
-4379.490032,8001,39231.552866
-7759.388374,8001,39437.477462
-10206.307112,8001,39619.385226
-8000.062146,8001,39831.135911
-4276.883237,8001,40022.236044
-5385.99545,8001,40219.904606
-5081.386207,8001,40449.893109
-4366.032883,8001,40551.120857
-5162.224826,8001,40837.917189
-4384.934109,8001,41066.231157
-5064.038771,8001,41377.664198
-5006.567381,8001,41614.851792
-5447.255943,8001,41788.30166
-5627.037689,8001,42002.999019
-10329.267442,8001,42185.731762
-9855.226855,8001,42360.047021
-10682.26529,8001,42570.472509
-10445.22361,8001,42678.359093
-9736.369741,8001,42965.315611
-10513.701443,8001,43227.359688
-4696.496416,8001,43414.598363
-10445.547916,8001,43604.081818
-5710.29565,8001,43827.351108
-5254.83192,8001,43998.141176
-6466.717366,8001,44167.955349
-7631.613111,8001,44376.588657
-6081.297118,8001,44513.255223
-7931.648251,8001,44641.997874
-10351.203254,8001,44785.029364
-9345.196285,8001,44919.923476
-10086.866732,8001,45062.885985
-10139.781535,8001,45225.347836
-9233.392903,8001,45418.734613
-8346.482867,8001,45602.971957
-9230.644341,8001,45859.519766
-5161.094599,8001,46124.417236
-9160.727729,8001,46341.945635
-6281.623528,8001,46590.526362
-9746.961773,8001,46855.747319
-3484.499909,8001,46941.499336
-5181.68985,8001,47111.814372
-6314.990315,8001,47288.153429
-10730.933093,8001,47482.567661
-9768.676991,8001,47673.539753
-10113.483986,8001,47823.987119
-10015.974091,8001,48027.464728
-10101.564539,8001,48273.514855
-6129.83018,8001,48486.10305
