#{"t_start": 1653172122.7907124, "env_id": "PointToPoint-v0"}
r,l,t
-4280.271469,8001,22925.843036
-2043.970716,8001,23308.326242
-2510.555175,8001,23570.409979
-799.860017,8001,23835.579977
-2368.862915,8001,24033.112291
-4592.410987,8001,24339.60047
-4224.694505,8001,24586.870644
-4319.210364,8001,24845.873968
-5550.926079,8001,25078.166871
-5306.682277,8001,25247.582519
-5180.557156,8001,25390.023078
-5555.978445,8001,25629.714509
-5487.030273,8001,25781.922896
-5489.530844,8001,25947.13024
-4527.334021,8001,26239.957464
-9509.933702,8001,26388.47226
-4589.210467,8001,26625.198518
-5086.661737,8001,26934.474732
-5183.923498,8001,27183.480551
-4723.74808,8001,27426.260537
-4593.318845,8001,27555.897806
-4919.80333,8001,27754.030935
-3719.631094,8001,28020.019761
-3225.934488,8001,28184.630924
-3696.644283,8001,28385.639389
-2549.342795,8001,28526.540034
-7041.744143,8001,28655.429204
-1980.946624,8001,28823.062224
-1427.769037,8001,28974.433994
-2228.728321,8001,29205.353767
-2018.291539,8001,29372.936526
-4429.769159,8001,29569.883699
-1510.581998,8001,29927.979857
-1119.089315,8001,30154.312147
-1505.340036,8001,30358.857439
-2721.204807,8001,30546.984913
-1532.67991,8001,30741.21037
-958.809975,8001,30974.89801
-3963.502031,8001,31242.654887
-4022.583616,8001,31545.160355
-4021.980457,8001,31816.920744
-3987.502537,8001,31953.635745
-3898.722449,8001,32185.544187
-4108.798755,8001,32355.591023
-3654.638626,8001,32554.381751
-3886.637835,8001,32753.373917
-4026.326395,8001,32998.977392
-1056.431867,8001,33375.294242
-1814.610567,8001,33584.530406
-1144.665341,8001,33775.415601
-3137.63239,8001,33901.699774
-3998.554734,8001,34070.668925
-8365.29079,8001,34261.113913
-8862.032756,8001,34459.922879
-4518.922573,8001,34652.301818
-9756.035501,8001,34800.688724
-9374.778279,8001,35028.03977
-6498.728003,8001,35216.750019
-9880.692731,8001,35447.686107
-6398.832027,8001,35634.224077
-8326.470284,8001,35797.304402
-9775.714041,8001,36030.878774
-7979.694011,8001,36312.638454
-7614.527735,8001,36426.04021
-10559.340989,8001,36648.998915
-10276.37718,8001,36779.628911
-3784.57963,8001,36944.755927
-5685.532309,8001,37124.609889
-4350.499677,8001,37341.258085
-4552.986957,8001,37537.022887
-4247.517791,8001,37749.107622
-6221.612546,8001,37976.050554
-3577.282711,8001,38137.561123
-4220.862945,8001,38237.438274
-4524.197988,8001,38365.037506
-4352.289103,8001,38619.917324
-10811.538414,8001,38795.732363
-10915.343819,8001,38982.02975
-10782.299799,8001,39255.657504
-9921.574637,8001,39421.324563
-10865.11051,8001,39703.086447
-9755.68148,8001,39836.975497
-3919.203988,8001,40045.31112
-4130.007195,8001,40237.371437
-4221.557438,8001,40416.149736
-6239.038026,8001,40617.381322
-4385.712728,8001,40827.113643
-4325.01102,8001,41045.221099
-4062.533257,8001,41245.46711
-4258.297534,8001,41430.880617
-4113.545823,8001,41668.09417
-4024.38357,8001,41801.849861
-3923.559814,8001,42125.159827
-3784.221143,8001,42358.437531
-4128.534481,8001,42633.635532
-1529.751124,8001,42841.63949
-1322.077121,8001,43020.987813
-832.429971,8001,43239.386454
-1187.64409,8001,43447.051149
-1210.521006,8001,43613.893184
-1093.548746,8001,43863.586236
-2270.19094,8001,44099.534326
-3864.994764,8001,44400.411651
-3073.047805,8001,44547.349558
-2032.712078,8001,44773.24561
-2835.597641,8001,44923.507858
-1205.896183,8001,45095.190543
-2393.991918,8001,45327.848175
-11403.171905,8001,45547.708519
-2699.726169,8001,45697.175125
-4788.251206,8001,45834.213798
-3364.754569,8001,46006.399665
-3042.894556,8001,46150.518024
-1981.087822,8001,46353.995293
-2989.919447,8001,46484.750678
-4263.923464,8001,46691.18656
-3500.565438,8001,46821.633995
-1847.457466,8001,47118.993819
-4138.899079,8001,47380.948905
-3499.543613,8001,47630.864565
-4545.367891,8001,47909.479687
-3597.684353,8001,48113.964922
-5612.030662,8001,48290.496724
-5458.037228,8001,48479.892779
-4217.792137,8001,48689.42727
-4333.665711,8001,48881.313952
-4555.201408,8001,49036.988573
-4007.845463,8001,49181.069947
-4581.011,8001,49454.941925
-5339.46607,8001,49657.266668
